City,San_Francisco_,Half_Moon_Bay_,San_Jose_,Fremont_,Palo_Alto,Berkeley_,San_Mateo_,Oakland_
Los_Angeles,616.0,608.0,548.0,573.0,574.0,604.0,595.0,597.0
San_Diego,818.0,810.0,750.0,775.0,776.0,806.0,797.0,799.0
San_Jose,78.0,65.2,1.0,27.7,28.4,73.4,49.1,65.2
San_Francisco,1.0,47.7,77.9,61.3,53.5,21.8,31.1,19.8
Fresno,297.0,300.0,241.0,269.0,267.0,285.0,291.0,279.0
Sacramento,140.0,184.0,192.0,168.0,190.0,124.0,167.0,130.0
Long_Beach,652.0,644.0,584.0,609.0,610.0,640.0,631.0,633.0
Oakland,19.9,66.5,65.2,42.8,55.9,8.2,49.0,1.0
Bakersfield,456.0,447.0,388.0,413.0,414.0,444.0,434.0,437.0
Anaheim,657.0,648.0,589.0,614.0,615.0,645.0,636.0,638.0
Stockton,136.0,147.0,132.0,108.0,136.0,124.0,129.0,117.0
Riverside,699.0,691.0,631.0,657.0,657.0,687.0,678.0,681.0
Santa_Ana,666.0,658.0,598.0,623.0,624.0,654.0,645.0,647.0
Irvine,678.0,670.0,610.0,636.0,637.0,666.0,657.0,660.0
Chula_Vista,829.0,821.0,761.0,786.0,787.0,817.0,808.0,810.0
Fremont,61.0,59.8,27.9,1.0,28.4,50.3,42.3,42.2
Santa_Clarita,566.0,558.0,498.0,524.0,524.0,554.0,545.0,548.0
San_Bernardino,703.0,695.0,635.0,660.0,661.0,691.0,682.0,684.0
Modesto,144.0,155.0,140.0,116.0,144.0,132.0,137.0,125.0
Moreno_Valley,713.0,705.0,645.0,671.0,672.0,702.0,692.0,695.0
Fontana,691.0,683.0,623.0,649.0,650.0,679.0,670.0,673.0
Oxnard,584.0,568.0,509.0,534.0,535.0,580.0,556.0,572.0
Huntington_Beach,677.0,669.0,609.0,634.0,635.0,665.0,656.0,658.0
Glendale,606.0,597.0,538.0,563.0,564.0,594.0,585.0,587.0
Santa_Rosa,88.0,130.0,159.0,137.0,153.0,87.8,131.0,94.2
Elk_Grove,164.0,207.0,188.0,164.0,192.0,147.0,186.0,154.0
Ontario,672.0,664.0,604.0,629.0,630.0,660.0,651.0,653.0
Oceanside,758.0,750.0,690.0,716.0,716.0,746.0,737.0,740.0
Rancho_Cucamonga,675.0,667.0,607.0,632.0,633.0,663.0,654.0,656.0
Garden_Grove,670.0,661.0,602.0,627.0,628.0,658.0,649.0,651.0
Lancaster,584.0,575.0,516.0,541.0,542.0,572.0,563.0,565.0
Palmdale,597.0,589.0,529.0,555.0,556.0,586.0,576.0,579.0
Salinas,171.0,155.0,95.4,121.0,122.0,166.0,142.0,158.0
Hayward,43.3,45.2,44.0,18.4,34.7,31.4,27.7,24.7
Corona,688.0,680.0,620.0,646.0,646.0,676.0,667.0,670.0
Sunnyvale,65.4,53.3,19.8,31.5,15.8,77.2,36.5,69.0
Pomona,660.0,652.0,592.0,617.0,618.0,648.0,639.0,641.0
Escondido,790.0,782.0,722.0,748.0,749.0,779.0,769.0,772.0
Torrance,637.0,628.0,569.0,594.0,595.0,625.0,616.0,618.0
Roseville,170.0,214.0,222.0,198.0,220.0,154.0,197.0,160.0
Fullerton,656.0,647.0,588.0,613.0,614.0,644.0,635.0,637.0
Visalia,364.0,368.0,308.0,336.0,334.0,353.0,358.0,346.0
Orange,663.0,655.0,595.0,620.0,621.0,651.0,642.0,645.0
Pasadena,618.0,609.0,550.0,575.0,576.0,606.0,596.0,599.0
Victorville,672.0,663.0,604.0,629.0,630.0,660.0,650.0,653.0
Santa_Clara,72.8,61.4,12.4,31.4,23.2,77.0,43.9,68.9
Thousand_Oaks,614.0,598.0,538.0,563.0,564.0,609.0,585.0,601.0
Simi_Valley,613.0,605.0,545.0,570.0,571.0,601.0,592.0,594.0
Concord,49.6,93.3,89.0,64.9,91.1,34.8,76.7,35.5
Vallejo,52.2,95.9,111.0,87.3,102.0,36.1,79.2,42.5
Berkeley,22.3,66.0,73.2,50.8,71.8,1.0,49.4,8.3
East_Los_Angeles,624.0,616.0,556.0,581.0,582.0,612.0,603.0,605.0
Fairfield,76.2,120.0,128.0,104.0,126.0,60.1,103.0,66.5
Clovis,310.0,313.0,254.0,282.0,280.0,298.0,304.0,292.0
Richmond,29.1,72.8,84.6,62.1,78.6,13.0,56.2,19.4
Carlsbad,764.0,756.0,696.0,721.0,722.0,752.0,743.0,745.0
Antioch,73.0,117.0,112.0,88.3,114.0,58.1,100.0,58.8
