City,San_Francisco_,Half_Moon_Bay_,San_Jose_,Fremont_,Palo_Alto,Berkeley_,San_Mateo_,Oakland_
Cedar_Ridge95945_,234.0,278.0,286.0,262.0,284.0,218.0,261.0,225.0
La_Honda,69.2,31.7,61.1,81.0,42.7,86.9,42.7,84.9
Woodacre,40.5,82.1,113.0,90.9,107.0,41.7,84.9,48.1
Fort_Dick95531_,586.0,627.0,657.0,634.0,651.0,585.0,629.0,592.0
Trabuco_Canyon,703.0,694.0,635.0,660.0,661.0,691.0,682.0,684.0
Foresthill,224.0,267.0,275.0,251.0,273.0,207.0,251.0,214.0
Mt_Hermon_Felton95018_,118.0,88.4,52.6,76.3,68.9,122.0,89.6,114.0
Brookdale,112.0,85.7,58.1,81.8,62.7,127.0,83.4,119.0
Camanche_North_Shore95640_,176.0,199.0,184.0,160.0,189.0,161.0,182.0,162.0
Johnstonville96130_,483.0,526.0,534.0,510.0,532.0,466.0,510.0,473.0
Yosemite_Valley95389_,335.0,346.0,312.0,307.0,335.0,323.0,328.0,316.0
California_,335.0,338.0,279.0,307.0,305.0,323.0,329.0,317.0
Grizzly_Flats,241.0,284.0,257.0,233.0,290.0,225.0,268.0,231.0
California_,335.0,338.0,279.0,307.0,305.0,323.0,329.0,317.0
Elkhorn,167.0,120.0,91.6,117.0,118.0,163.0,138.0,154.0
Thermal92274_,832.0,823.0,764.0,789.0,790.0,820.0,810.0,813.0
Berry_Creek95916_,276.0,320.0,328.0,303.0,325.0,260.0,303.0,266.0
Bolinas94924_,47.5,89.0,130.0,114.0,100.0,64.6,77.5,71.0
Junction_City96048_,432.0,475.0,483.0,459.0,481.0,416.0,459.0,422.0
Chalfant_Valley93514_,594.0,638.0,599.0,575.0,644.0,578.0,621.0,584.0
Littlerock93543_,617.0,609.0,549.0,575.0,576.0,606.0,596.0,599.0
Walnut_Grove95690_,121.0,164.0,160.0,136.0,162.0,106.0,148.0,107.0
Chualar,188.0,172.0,112.0,138.0,138.0,183.0,159.0,175.0
Bodega_Bay94923_,107.0,148.0,178.0,156.0,172.0,107.0,150.0,113.0
Plymouth95669_,206.0,224.0,209.0,185.0,213.0,190.0,206.0,196.0
Occidental,109.0,151.0,181.0,158.0,175.0,109.0,152.0,116.0
Penn_Valley95946_,234.0,278.0,286.0,262.0,284.0,218.0,262.0,225.0
Tahoe_Vista,323.0,367.0,375.0,351.0,373.0,307.0,350.0,313.0
Hydesville,407.0,449.0,479.0,456.0,473.0,407.0,450.0,413.0
Stratford93266_,344.0,336.0,276.0,301.0,302.0,332.0,323.0,325.0
Big_River,996.0,988.0,928.0,953.0,954.0,984.0,975.0,977.0
Squirrel_Mountain_Valley93240_,534.0,526.0,466.0,492.0,493.0,523.0,513.0,516.0
Diablo_Grande95363_,150.0,161.0,146.0,121.0,150.0,138.0,143.0,131.0
Shandon93461_,355.0,339.0,279.0,305.0,306.0,350.0,326.0,342.0
West_Park93706_,301.0,301.0,241.0,273.0,267.0,289.0,294.0,282.0
Maxwell95955_,198.0,242.0,250.0,226.0,248.0,182.0,225.0,188.0
Buttonwillow,416.0,408.0,348.0,373.0,374.0,404.0,395.0,397.0
Pasatiempo95060_,116.0,82.0,49.7,73.3,65.9,119.0,86.6,111.0
March_Air_Reserve_Base,714.0,705.0,646.0,671.0,672.0,702.0,693.0,695.0
Crowley_Lake,529.0,573.0,534.0,510.0,579.0,513.0,556.0,519.0
Clay95638_,158.0,200.0,185.0,161.0,190.0,144.0,183.0,144.0
Lake_Riverside92536_,791.0,783.0,724.0,749.0,750.0,780.0,770.0,773.0
Riverdale_Park95358_,145.0,156.0,141.0,117.0,146.0,133.0,139.0,127.0
Whitewater92282_,771.0,762.0,703.0,728.0,729.0,759.0,749.0,752.0
Shell_Ridge_Walnut_Creek94596_,45.2,94.1,78.8,54.7,86.0,30.4,76.6,31.1
Dunnigan,150.0,194.0,202.0,178.0,200.0,134.0,177.0,140.0
Sea_Ranch95480_,175.0,217.0,246.0,224.0,241.0,175.0,218.0,181.0
Matheny93274_,379.0,382.0,323.0,351.0,349.0,367.0,373.0,360.0
Mi-Wuk_Village,243.0,254.0,239.0,215.0,244.0,231.0,237.0,225.0
Glen_Ellen95442_,80.4,122.0,152.0,129.0,146.0,80.2,123.0,86.6
California_,335.0,338.0,279.0,307.0,305.0,323.0,329.0,317.0
Penryn,184.0,227.0,235.0,211.0,233.0,168.0,211.0,174.0
El_Macero95618_,124.0,168.0,176.0,151.0,173.0,108.0,151.0,114.0
California_,335.0,338.0,279.0,307.0,305.0,323.0,329.0,317.0
Gerber96035_,290.0,333.0,341.0,317.0,339.0,273.0,317.0,280.0
Amador_County,210.0,233.0,218.0,194.0,222.0,195.0,215.0,195.0
Boonville,185.0,227.0,256.0,234.0,251.0,185.0,228.0,191.0
Herald,150.0,194.0,179.0,155.0,183.0,135.0,176.0,135.0
North_Edwards93523_,584.0,576.0,516.0,541.0,542.0,572.0,563.0,565.0
Lower_Lake,170.0,211.0,232.0,208.0,221.0,155.0,198.0,162.0
Tahoma96142_,334.0,378.0,386.0,361.0,383.0,318.0,361.0,324.0
Beale_AFB,216.0,260.0,268.0,244.0,265.0,200.0,243.0,206.0
Sultana,346.0,349.0,289.0,318.0,316.0,334.0,339.0,327.0
Yermo,682.0,674.0,614.0,639.0,640.0,670.0,661.0,663.0
South_Dos_Palos,222.0,213.0,154.0,179.0,180.0,210.0,200.0,203.0
Loyalton96118_,361.0,404.0,412.0,388.0,410.0,345.0,388.0,351.0
Green_Valley94534_,70.7,114.0,123.0,99.1,120.0,54.6,97.8,61.0
Somis93066_,600.0,584.0,524.0,549.0,550.0,595.0,571.0,587.0
McClellan_Park,156.0,200.0,208.0,184.0,206.0,140.0,183.0,147.0
Talmage95482_,185.0,226.0,256.0,234.0,250.0,185.0,228.0,191.0
Challenge-Brownsville,251.0,295.0,303.0,279.0,301.0,235.0,278.0,242.0
Los_Olivos,469.0,453.0,394.0,419.0,420.0,465.0,440.0,456.0
Alhambra_Valley94553_,48.1,91.8,92.0,67.9,89.6,33.2,75.1,33.9
Pala92059_,767.0,758.0,699.0,724.0,725.0,755.0,745.0,748.0
Doyle96109_,422.0,466.0,474.0,450.0,472.0,406.0,450.0,413.0
Soda_Bay95451_,202.0,243.0,273.0,251.0,267.0,201.0,245.0,208.0
Douglas_City,409.0,453.0,461.0,436.0,458.0,393.0,436.0,399.0
Dollar_Point96145_,326.0,370.0,378.0,354.0,376.0,310.0,353.0,316.0
Klamath95548_,538.0,580.0,609.0,587.0,603.0,538.0,581.0,544.0
Greeley_Hill_California_95311_,238.0,249.0,234.0,210.0,238.0,226.0,231.0,219.0
Knights_Landing,148.0,191.0,199.0,175.0,197.0,132.0,175.0,138.0
Eldridge,77.6,119.0,149.0,127.0,143.0,77.4,121.0,83.8
Alpaugh93201_,386.0,378.0,318.0,344.0,344.0,374.0,365.0,368.0
Tres_Pinos95023_,161.0,145.0,85.7,111.0,112.0,157.0,133.0,149.0
Malaga93725_,305.0,308.0,248.0,277.0,275.0,293.0,298.0,286.0
Blue_Lake,462.0,503.0,533.0,511.0,527.0,462.0,505.0,468.0
1600_Atlas_Peak_Rd_Napa94558_,87.5,131.0,149.0,125.0,137.0,71.5,115.0,77.9
Lompico95018_,124.0,95.3,57.8,81.4,74.1,127.0,94.7,119.0
Hopland95449_,162.0,204.0,233.0,211.0,228.0,162.0,205.0,168.0
Castle_Hill_Alamo94595_,42.8,86.5,76.7,52.6,83.8,28.0,74.4,28.7
Mesa_Verde92225_,959.0,951.0,891.0,917.0,917.0,947.0,938.0,941.0
Waterloo95215_,150.0,161.0,146.0,121.0,150.0,138.0,143.0,131.0
Santa_Susana_Simi_Valley93063_,606.0,598.0,538.0,563.0,564.0,594.0,585.0,587.0
Cedar_Flat95527_,479.0,523.0,531.0,507.0,529.0,463.0,507.0,470.0
Alto_Mill_Valley94941_,20.7,62.3,104.0,81.9,73.3,32.8,50.8,39.2
Norris_Canyon_Estates_San_Ramon94583_,55.4,66.4,64.6,40.5,55.8,43.5,48.9,36.8
Cleone95437_,269.0,311.0,340.0,318.0,335.0,269.0,312.0,275.0
Thornton,129.0,178.0,163.0,139.0,168.0,114.0,161.0,115.0
Tulelake96134_,581.0,624.0,632.0,608.0,630.0,565.0,608.0,571.0
Dorris96023_,539.0,583.0,591.0,567.0,589.0,523.0,566.0,529.0
Johnson_Park96013_,435.0,479.0,487.0,463.0,485.0,419.0,462.0,426.0
McCloud96057_,456.0,499.0,507.0,483.0,505.0,440.0,483.0,446.0
Butte_Valley95965_,265.0,309.0,317.0,293.0,315.0,249.0,292.0,255.0
Lebec,502.0,493.0,434.0,459.0,460.0,490.0,481.0,483.0
Mountain_Mesa93240_,532.0,524.0,464.0,490.0,491.0,521.0,511.0,514.0
Geyserville,124.0,165.0,195.0,173.0,189.0,124.0,167.0,130.0
Monte_Rio,127.0,169.0,198.0,176.0,192.0,127.0,170.0,133.0
Ballard93463_,473.0,457.0,398.0,423.0,424.0,469.0,444.0,460.0
Silverado92676_,697.0,689.0,629.0,654.0,655.0,685.0,676.0,678.0
Inyokern,623.0,615.0,555.0,580.0,581.0,611.0,602.0,604.0
Happy_Camp96039_,616.0,659.0,667.0,643.0,665.0,600.0,643.0,606.0
Buena_Vista95640_,182.0,205.0,190.0,166.0,194.0,167.0,187.0,168.0
Modjeska_Canyon92676_,699.0,691.0,631.0,657.0,658.0,688.0,678.0,681.0
Petaluma,62.4,104.0,134.0,111.0,128.0,62.2,105.0,68.6
Stebbins_AK_
Patton_Village96113_,439.0,483.0,490.0,466.0,488.0,423.0,466.0,429.0
Smith_River95567_,592.0,634.0,664.0,641.0,658.0,592.0,635.0,599.0
Santa_Margarita,361.0,345.0,285.0,311.0,312.0,356.0,332.0,348.0
Sunol,71.0,66.7,39.9,14.1,47.0,59.1,49.2,52.4
Mountain_Gate96003_,362.0,406.0,414.0,390.0,412.0,346.0,389.0,353.0
Minkler93657_,327.0,331.0,271.0,299.0,297.0,315.0,321.0,309.0
Spring_Valley,831.0,823.0,763.0,789.0,790.0,820.0,810.0,813.0
Independence93526_,641.0,744.0,685.0,710.0,711.0,625.0,731.0,632.0
Catheys_Valley95306_,247.0,258.0,224.0,219.0,247.0,235.0,241.0,228.0
Kernville,540.0,532.0,472.0,497.0,498.0,528.0,519.0,521.0
Fieldbrook_McKinleyville95519_,466.0,507.0,537.0,515.0,531.0,465.0,509.0,472.0
Kettleman_City93239_,339.0,330.0,271.0,296.0,297.0,327.0,318.0,320.0
Laytonville,257.0,298.0,328.0,305.0,322.0,256.0,300.0,263.0
West_Point95255_,227.0,242.0,227.0,203.0,231.0,212.0,224.0,213.0
Wallace,172.0,192.0,177.0,153.0,182.0,157.0,175.0,158.0
Millville,353.0,397.0,405.0,381.0,403.0,337.0,380.0,343.0
Bradbury91008_,637.0,628.0,569.0,594.0,595.0,625.0,616.0,618.0
Shelter_Cove95589_,371.0,412.0,442.0,419.0,436.0,370.0,413.0,377.0
Millerton94956_,73.9,115.0,145.0,123.0,139.0,73.7,117.0,80.1
Etna96027_,541.0,584.0,592.0,568.0,590.0,524.0,568.0,531.0
Hickman95323_,172.0,183.0,168.0,144.0,173.0,160.0,166.0,154.0
Aguanga92536_,779.0,770.0,711.0,736.0,737.0,767.0,758.0,760.0
Lake_of_the_Woods93225_,514.0,505.0,446.0,471.0,472.0,502.0,493.0,495.0
Indianola95503_,444.0,486.0,516.0,493.0,510.0,444.0,487.0,451.0
Olde_Stockdale_Bakersfield93309_,453.0,445.0,385.0,410.0,411.0,441.0,432.0,434.0
Manila95521_,443.0,485.0,515.0,492.0,509.0,443.0,486.0,450.0
Mendocino,248.0,290.0,320.0,297.0,314.0,248.0,291.0,254.0
Cedarville96104_,611.0,655.0,663.0,639.0,661.0,595.0,638.0,602.0
New_Cuyama93254_,502.0,486.0,426.0,452.0,453.0,485.0,473.0,489.0
Kenwood,87.7,129.0,159.0,137.0,153.0,87.5,131.0,93.9
Deer_Park,113.0,157.0,174.0,150.0,163.0,97.2,140.0,104.0
East_Tulare_Villa93274_,374.0,377.0,318.0,346.0,344.0,362.0,368.0,356.0
Diablo,52.7,86.4,71.1,47.0,78.3,37.9,68.9,38.6
Davenport95017_,109.0,61.3,69.8,93.4,86.0,126.0,82.2,124.0
Northgate_Sacramento,147.0,191.0,199.0,175.0,197.0,131.0,174.0,137.0
Mokelumne_Hill95245_,205.0,216.0,201.0,177.0,205.0,190.0,198.0,191.0
Delleker96122_,381.0,424.0,432.0,408.0,430.0,364.0,408.0,371.0
Linnell_Camp93292_,371.0,374.0,315.0,343.0,341.0,359.0,365.0,353.0
Courtland95615_,130.0,173.0,169.0,145.0,171.0,115.0,157.0,115.0
Rolling_Hills,646.0,638.0,578.0,603.0,604.0,634.0,625.0,627.0
Cold_Springs_NV_89508_,380.0,424.0,432.0,408.0,430.0,364.0,407.0,371.0
Onyx,552.0,543.0,484.0,509.0,510.0,540.0,531.0,533.0
Fall_River_Mills96028_,457.0,500.0,508.0,484.0,506.0,441.0,484.0,447.0
Fuller_Acres93307_,472.0,464.0,404.0,430.0,431.0,460.0,451.0,454.0
Greenville95947_,407.0,451.0,459.0,435.0,457.0,391.0,434.0,398.0
Fort_Jones96032_,522.0,565.0,573.0,549.0,571.0,506.0,549.0,512.0
East_Orosi93647_,364.0,367.0,308.0,336.0,334.0,352.0,358.0,346.0
Cobb,161.0,202.0,223.0,199.0,212.0,146.0,189.0,153.0
Tranquillity93668_,279.0,271.0,211.0,236.0,237.0,267.0,258.0,261.0
Alta95701_,237.0,281.0,289.0,265.0,287.0,221.0,264.0,228.0
Victor95240_,144.0,174.0,159.0,135.0,164.0,129.0,157.0,130.0
Lytle_Creek92358_,701.0,693.0,633.0,659.0,659.0,689.0,680.0,683.0
Clyde94520_,54.2,97.9,93.6,69.5,95.7,39.4,81.3,40.1
Fields_Landing95537_,426.0,467.0,497.0,475.0,491.0,425.0,469.0,432.0
California_,335.0,338.0,279.0,307.0,305.0,323.0,329.0,317.0
Bodega,99.8,141.0,171.0,149.0,165.0,99.6,143.0,106.0
Carnelian_Bay96140_,327.0,371.0,379.0,354.0,376.0,311.0,354.0,317.0
Lakehead_Lakehead-Lakeshore96051_,388.0,432.0,440.0,416.0,438.0,372.0,415.0,378.0
Calpella,194.0,236.0,266.0,243.0,260.0,194.0,237.0,201.0
Ducor93218_,425.0,418.0,358.0,383.0,384.0,413.0,405.0,406.0
Jacumba_Hot_Springs91934_,917.0,909.0,849.0,875.0,876.0,906.0,896.0,899.0
Lake_Hughes93532_,554.0,546.0,486.0,512.0,512.0,542.0,533.0,536.0
Paradise_Park95060_,120.0,82.5,54.1,77.7,70.4,123.0,91.1,115.0
Valley_Acres93268_,444.0,435.0,376.0,401.0,402.0,432.0,423.0,425.0
Traver,338.0,341.0,282.0,310.0,308.0,326.0,332.0,320.0
Butte_Creek_Canyon95928_,280.0,323.0,331.0,307.0,329.0,264.0,307.0,270.0
Wilkerson93514_,584.0,627.0,589.0,565.0,633.0,567.0,611.0,574.0
Ripley92225_,974.0,966.0,906.0,931.0,932.0,962.0,953.0,955.0
Cowan_Tract_Modesto95358_,150.0,161.0,146.0,122.0,151.0,138.0,144.0,132.0
Bootjack95338_,275.0,286.0,251.0,246.0,275.0,263.0,268.0,256.0
Baker,765.0,757.0,697.0,723.0,723.0,753.0,744.0,747.0
